Designator,Mid X,Mid Y,Rotation,Layer
_5,116.825,-108.6,0.0,top
_4,190.325,-124.6,0.0,top
_3,111.825,-165.1,0.0,top
_2,173.825,-206.1,0.0,top
,216.825,-158.6,0.0,top
